"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
404358;"2019-08-02-EGMP-FRE-052";420108;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_154";"Côte des Conches";"EGMP_154_12";"Conches de Vaux sur Mer";"12:05";"total de pêcheurs à pied de loisir";30;;;"";
404358;"2019-08-02-EGMP-FRE-052";420103;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_154";"Côte des Conches";"EGMP_154_11";"Nauzan";;"total de pêcheurs à pied de loisir";0;;;"";
404389;"2018-09-19-GONB-FRE-021";404391;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra18";"Pointe du Puits";"12:35";"total de pêcheurs à pied de loisir";0;;;"";
404389;"2018-09-19-GONB-FRE-021";404390;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra13";"Le Valion";"12:35";"total de pêcheurs à pied de loisir";0;;;"";
404389;"2018-09-19-GONB-FRE-021";404392;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra12";"Val ès Bouillis";"12:35";"total de pêcheurs à pied de loisir";0;;;"";
404395;"2018-09-19-GONB-FRE-023";404396;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra22";"Banche";"12:45";"total de pêcheurs à pied de loisir";1;;;"";"pêcheur sur fouisseur (râteau)"
404395;"2018-09-19-GONB-FRE-023";404399;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra21";"La Herviais";"12:40";"total de pêcheurs à pied de loisir";0;;;"Pêche à pied professionnelle";"1 pêcheur pro sur fouisseur"
404395;"2018-09-19-GONB-FRE-023";404398;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra23";"Grève de Morlet";"12:45";"total de pêcheurs à pied de loisir";0;;;"";
404395;"2018-09-19-GONB-FRE-023";404397;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra17";"Grève de Garel";"12:45";"total de pêcheurs à pied de loisir";0;;;"";
404487;"2018-09-19-GONB-FRE-032";404489;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra31";"La Ville Ger";"12:55";"total de pêcheurs à pied de loisir";0;;;"Pêche à pied professionnelle";"3 pêcheurs pro sur palourdes"
404487;"2018-09-19-GONB-FRE-032";404490;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra27";"Port Saint-Jean";"12:55";"total de pêcheurs à pied de loisir";0;;;"Autres pêches de loisir";"1 pêcheur appât (vers marins)"
404521;"2018-09-20-GONB-FRE-019";404522;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra13";"Le Valion";"12:20";"total de pêcheurs à pied de loisir";0;;;"";
