"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_28/09/2015_JeanPierre Guillosson_6";;;;;2;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_7";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_8";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_JeanPierre Guillosson_9";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_1";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_10";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_2";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_3";;;;;1;"Oui";;;
"Arcouest_28/09/2015_Jérémy Allain_4";;;;;1;"Non";;;;"Etrille";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_4";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_5";;;;;1;"Oui";;;
"Arcouest_28/09/2015_Jérémy Allain_6";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_7";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Arcouest_28/09/2015_Jérémy Allain_8";;;;;;"Oui";;;
"Arcouest_28/09/2015_Jérémy Allain_9";;;;;1;"Non";;;;"Praire";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_1";;;;;2;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_10";;;;;2;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_11";;;;;2;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_12";;;;;2;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_12";;;;;2;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_13";;;;;1;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_13";;;;;1;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_14";;;;;3;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_14";;;;;3;"Non";;;;"Bigorneaux";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_14";;;;;3;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_15";;;;;2;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_15";;;;;2;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_16";;;;;2;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_17";;;;;5;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_17";;;;;5;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_18";;;;;1;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_19";;;;;2;"Non";;;;"Bigorneaux";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_2";;;;;1;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_20";;;;;4;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_20";;;;;4;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_21";;;;;3;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_22";;;;;2;"Oui";;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_23";;;;;3;"Oui";;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_24";;;;;3;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_24";;;;;3;"Non";;;;"Palourdes";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_25";;;;;1;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_26";;;;;1;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_27";;;;;1;"Non";;;;"Coques";;;;;;;;;
"Goaz Trez/Toëno_01/08/2015_Franck Delisle+Laura Berthel_28";;;;;1;"Non";;;;"Palourdes";;;;;;;;;
